transactionid,investorid,fundid,transactiondate,transactiontype,amount,currency
ITX000793,INV0066,F005,2026-02-12,Subscription,38330.99,EUR
ITX000794,INV0007,F007,2026-05-05,Subscription,29044.93,EUR
ITX000795,INV0045,F007,2025-06-28,Redemption,-2111.85,EUR
ITX000796,INV0067,F008,2025-11-20,Subscription,6458.22,EUR
ITX000797,INV0027,F007,2026-08-18,Subscription,1085.09,EUR
ITX000798,INV0034,F003,2026-07-16,Subscription,18399.32,EUR
ITX000799,INV0079,F006,2026-01-10,Subscription,13835.71,EUR
ITX000800,INV0054,F006,2026-01-09,Subscription,21485.17,EUR
ITX000801,INV0024,F003,2026-08-13,Redemption,-14341.66,EUR
ITX000802,INV0093,F005,2025-08-30,Subscription,40802.44,EUR
ITX000803,INV0026,F003,2025-06-03,Subscription,42887.28,EUR
ITX000804,INV0054,F008,2025-05-18,Subscription,982.24,EUR
ITX000805,INV0067,F006,2026-05-14,Redemption,-42544.8,EUR
ITX000806,INV0073,F001,2026-02-12,Subscription,28325.85,EUR
ITX000807,INV0028,F005,2026-05-03,Subscription,8585.42,EUR
ITX000808,INV0096,F006,2025-09-24,Redemption,-5266.94,EUR
ITX000809,INV0033,F006,2025-01-21,Subscription,28237.33,EUR
ITX000810,INV0087,F004,2026-08-14,Subscription,17878.98,EUR
ITX000811,INV0023,F005,2025-12-30,Subscription,32631.98,EUR
ITX000812,INV0100,F008,2025-03-22,Subscription,25767.0,EUR
ITX000813,INV0081,F003,2025-06-21,Subscription,14682.92,EUR
ITX000814,INV0054,F007,2025-03-15,Subscription,46464.05,EUR
ITX000815,INV0041,F006,2025-10-26,Subscription,17509.46,EUR
ITX000816,INV0051,F005,2026-04-01,Subscription,30466.56,EUR
ITX000817,INV0096,F008,2026-02-28,Subscription,46969.11,EUR
ITX000818,INV0017,F004,2025-09-15,Subscription,42783.49,EUR
ITX000819,INV0011,F004,2025-06-20,Redemption,-35184.5,EUR
ITX000820,INV0061,F001,2025-01-27,Subscription,5229.91,EUR
ITX000821,INV0011,F002,2025-09-26,Subscription,26437.15,EUR
ITX000822,INV0050,F005,2025-08-23,Subscription,4673.41,EUR
ITX000823,INV0081,F003,2025-05-15,Subscription,14566.68,EUR
ITX000824,INV0005,F006,2025-11-30,Subscription,8945.1,EUR
ITX000825,INV0070,F005,2026-07-16,Redemption,-23626.08,EUR
ITX000826,INV0090,F003,2026-04-13,Subscription,48492.34,EUR
ITX000827,INV0073,F007,2026-06-21,Subscription,31974.63,EUR
ITX000828,INV0045,F008,2026-07-07,Subscription,26922.31,EUR
ITX000829,INV0040,F006,2026-02-27,Subscription,4932.92,EUR
ITX000830,INV0001,F003,2025-12-19,Subscription,15526.86,EUR
ITX000831,INV0089,F008,2026-05-04,Subscription,26987.39,EUR
ITX000832,INV0038,F004,2025-01-08,Subscription,38410.53,EUR
ITX000833,INV0072,F007,2026-02-09,Subscription,9834.26,EUR
ITX000834,INV0083,F007,2026-01-23,Subscription,35889.43,EUR
ITX000835,INV0081,F004,2026-06-14,Subscription,4420.88,EUR
ITX000836,INV0089,F005,2025-10-19,Subscription,45542.74,EUR
ITX000837,INV0035,F007,2025-07-12,Subscription,26831.24,EUR
ITX000838,INV0038,F002,2026-04-12,Redemption,-9529.16,EUR
ITX000839,INV0080,F008,2025-07-12,Subscription,13970.64,EUR
ITX000840,INV0069,F001,2025-07-10,Subscription,8031.39,EUR
ITX000841,INV0017,F008,2025-01-09,Redemption,-14464.67,EUR
ITX000842,INV0064,F004,2025-12-17,Subscription,7958.84,EUR
ITX000843,INV0064,F006,2026-04-20,Subscription,39393.4,EUR
ITX000844,INV0011,F003,2025-02-27,Subscription,2070.99,EUR
ITX000845,INV0070,F008,2025-07-05,Subscription,19924.88,EUR
ITX000846,INV0049,F001,2025-05-05,Subscription,42156.19,EUR
ITX000847,INV0050,F008,2025-09-11,Redemption,-35876.78,EUR
ITX000848,INV0059,F002,2026-06-18,Subscription,2158.76,EUR
ITX000849,INV0050,F005,2025-11-27,Subscription,10818.13,EUR
ITX000850,INV0096,F002,2025-09-17,Subscription,36547.74,EUR
ITX000851,INV0047,F001,2025-08-12,Subscription,15291.25,EUR
ITX000852,INV0056,F006,2025-01-16,Redemption,-12180.31,EUR
ITX000853,INV0016,F007,2025-09-06,Subscription,14166.95,EUR
ITX000854,INV0089,F008,2025-06-08,Subscription,2578.67,EUR
ITX000855,INV0021,F008,2025-04-04,Subscription,4929.26,EUR
ITX000856,INV0098,F001,2025-03-03,Subscription,17251.89,EUR
ITX000857,INV0069,F002,2025-05-09,Subscription,8118.96,EUR
ITX000858,INV0072,F006,2026-03-26,Subscription,16178.61,EUR
ITX000859,INV0049,F006,2025-05-18,Subscription,1556.97,EUR
ITX000860,INV0091,F008,2026-07-27,Subscription,2454.68,EUR
ITX000861,INV0025,F003,2026-07-11,Subscription,35003.37,EUR
ITX000862,INV0036,F003,2025-03-12,Subscription,36753.92,EUR
ITX000863,INV0034,F006,2026-04-10,Subscription,22744.52,EUR
ITX000864,INV0049,F003,2025-01-20,Subscription,32082.29,EUR
ITX000865,INV0080,F004,2025-11-25,Subscription,18521.72,EUR
ITX000866,INV0069,F007,2025-07-14,Subscription,33085.33,EUR
ITX000867,INV0071,F003,2025-10-17,Subscription,25128.68,EUR
ITX000868,INV0015,F002,2026-06-20,Subscription,32224.74,EUR
ITX000869,INV0017,F003,2025-02-02,Subscription,2666.97,EUR
ITX000870,INV0013,F001,2026-08-08,Subscription,24525.83,EUR
ITX000871,INV0063,F005,2025-02-20,Subscription,19735.64,EUR
ITX000872,INV0010,F001,2025-08-02,Subscription,30494.7,EUR
ITX000873,INV0011,F008,2025-03-04,Subscription,46455.98,EUR
ITX000874,INV0054,F006,2025-03-01,Subscription,37302.13,EUR
ITX000875,INV0006,F002,2025-11-08,Redemption,-13657.87,EUR
ITX000876,INV0067,F002,2025-04-14,Subscription,11187.05,EUR
ITX000877,INV0025,F004,2026-06-23,Subscription,26817.22,EUR
ITX000878,INV0023,F007,2025-04-19,Subscription,28716.37,EUR
ITX000879,INV0087,F008,2026-03-14,Subscription,29039.9,EUR
ITX000880,INV0024,F007,2026-06-01,Redemption,-8757.06,EUR
ITX000881,INV0077,F008,2025-12-27,Subscription,8329.73,EUR
ITX000882,INV0042,F006,2026-02-27,Redemption,-27729.03,EUR
ITX000883,INV0093,F006,2025-09-04,Subscription,21814.11,EUR
ITX000884,INV0099,F005,2026-01-04,Subscription,11089.44,EUR
ITX000885,INV0051,F001,2025-02-05,Redemption,-22651.24,EUR
ITX000886,INV0067,F003,2025-11-06,Redemption,-29990.26,EUR
ITX000887,INV0028,F006,2025-01-23,Subscription,49227.52,EUR
ITX000888,INV0036,F003,2025-04-07,Subscription,47195.72,EUR
ITX000889,INV0018,F005,2026-01-11,Subscription,18104.96,EUR
ITX000890,INV0033,F005,2025-04-05,Redemption,-12867.92,EUR
ITX000891,INV0028,F002,2025-11-29,Subscription,28668.71,EUR
ITX000892,INV0089,F002,2025-11-04,Subscription,9058.67,EUR
ITX000893,INV0049,F002,2025-02-27,Subscription,40512.89,EUR
ITX000894,INV0056,F007,2025-05-04,Redemption,-17052.29,EUR
ITX000895,INV0084,F001,2026-01-27,Redemption,-11722.52,EUR
ITX000896,INV0041,F003,2025-12-01,Subscription,26456.98,EUR
ITX000897,INV0007,F007,2026-04-02,Subscription,11429.46,EUR
ITX000898,INV0012,F004,2026-03-19,Subscription,28975.12,EUR
ITX000899,INV0017,F006,2025-03-26,Subscription,20018.96,EUR
ITX000900,INV0071,F007,2025-09-26,Subscription,37393.09,EUR
ITX000901,INV0100,F003,2025-05-19,Subscription,25340.24,EUR
ITX000902,INV0051,F004,2026-07-29,Subscription,10306.37,EUR
ITX000903,INV0032,F004,2025-03-15,Subscription,36915.55,EUR
ITX000904,INV0088,F002,2025-04-26,Subscription,21788.25,EUR
ITX000905,INV0045,F004,2025-11-25,Subscription,21465.26,EUR
ITX000906,INV0099,F005,2025-06-23,Subscription,32942.79,EUR
ITX000907,INV0057,F003,2026-03-28,Redemption,-31002.94,EUR
ITX000908,INV0026,F006,2025-06-09,Subscription,40999.51,EUR
ITX000909,INV0015,F001,2025-09-06,Subscription,42711.83,EUR
ITX000910,INV0037,F001,2025-12-18,Redemption,-46373.12,EUR
ITX000911,INV0058,F008,2025-01-24,Subscription,6008.26,EUR
ITX000912,INV0028,F004,2026-07-14,Subscription,37130.64,EUR
ITX000913,INV0062,F003,2025-01-19,Subscription,13303.57,EUR
ITX000914,INV0068,F001,2025-09-19,Subscription,45348.99,EUR
ITX000915,INV0090,F005,2025-02-24,Subscription,14558.67,EUR
ITX000916,INV0009,F007,2025-10-05,Subscription,47286.24,EUR
ITX000917,INV0047,F002,2025-01-20,Subscription,45687.0,EUR
ITX000918,INV0050,F004,2026-01-25,Subscription,44228.41,EUR
ITX000919,INV0041,F008,2026-06-29,Subscription,35629.6,EUR
ITX000920,INV0059,F001,2025-02-10,Subscription,10344.32,EUR
ITX000921,INV0043,F008,2026-02-07,Subscription,26706.06,EUR
ITX000922,INV0088,F006,2025-12-30,Subscription,1409.43,EUR
ITX000923,INV0065,F005,2025-03-05,Subscription,12192.14,EUR
ITX000924,INV0004,F005,2025-08-19,Subscription,43994.53,EUR
ITX000925,INV0085,F003,2025-03-31,Subscription,44910.18,EUR
ITX000926,INV0087,F004,2026-03-04,Subscription,26275.53,EUR
ITX000927,INV0040,F006,2026-04-05,Subscription,8061.08,EUR
ITX000928,INV0018,F004,2025-05-22,Subscription,10734.49,EUR
ITX000929,INV0068,F003,2026-03-17,Subscription,35404.25,EUR
ITX000930,INV0019,F003,2025-11-22,Redemption,-48800.96,EUR
ITX000931,INV0093,F002,2025-07-08,Subscription,26881.6,EUR
ITX000932,INV0094,F001,2025-11-23,Subscription,44042.09,EUR
ITX000933,INV0053,F005,2026-03-30,Redemption,-20994.99,EUR
ITX000934,INV0082,F005,2025-06-05,Subscription,41174.08,EUR
ITX000935,INV0024,F001,2025-10-01,Subscription,5785.19,EUR
ITX000936,INV0077,F004,2025-08-25,Subscription,30811.92,EUR
ITX000937,INV0089,F008,2025-05-18,Subscription,18283.44,EUR
ITX000938,INV0092,F006,2025-07-08,Subscription,30433.23,EUR
ITX000939,INV0018,F003,2025-07-17,Redemption,-24826.56,EUR
ITX000940,INV0002,F005,2026-02-27,Subscription,20725.16,EUR
ITX000941,INV0026,F004,2025-03-09,Subscription,33731.28,EUR
ITX000942,INV0057,F008,2025-11-29,Subscription,47757.6,EUR
ITX000943,INV0055,F007,2025-02-12,Redemption,-44435.55,EUR
ITX000944,INV0093,F006,2026-02-08,Subscription,41304.26,EUR
ITX000945,INV0077,F001,2026-06-18,Subscription,37252.16,EUR
ITX000946,INV0006,F004,2026-06-16,Subscription,23116.57,EUR
ITX000947,INV0006,F007,2026-06-13,Subscription,49199.62,EUR
ITX000948,INV0025,F005,2026-03-27,Subscription,48148.32,EUR
ITX000949,INV0037,F008,2025-06-20,Subscription,15575.43,EUR
ITX000950,INV0007,F003,2026-04-20,Subscription,30850.15,EUR
ITX000951,INV0093,F002,2025-07-04,Redemption,-22859.06,EUR
ITX000952,INV0090,F003,2026-02-07,Subscription,46923.2,EUR
ITX000953,INV0023,F008,2025-07-26,Subscription,22818.85,EUR
ITX000954,INV0042,F003,2025-05-07,Redemption,-4963.89,EUR
ITX000955,INV0082,F006,2025-03-29,Subscription,35458.22,EUR
ITX000956,INV0066,F003,2026-01-23,Subscription,19512.33,EUR
ITX000957,INV0022,F006,2026-08-03,Subscription,2673.35,EUR
ITX000958,INV0021,F003,2025-07-03,Redemption,-43202.29,EUR
ITX000959,INV0040,F005,2026-04-02,Subscription,3039.87,EUR
ITX000960,INV0017,F004,2025-01-04,Subscription,9444.45,EUR
ITX000961,INV0059,F008,2026-05-26,Subscription,13028.99,EUR
ITX000962,INV0064,F004,2025-08-11,Subscription,784.65,EUR
ITX000963,INV0053,F008,2025-03-23,Subscription,24047.74,EUR
ITX000964,INV0071,F005,2026-07-25,Subscription,825.36,EUR
ITX000965,INV0024,F003,2025-02-26,Redemption,-10778.06,EUR
ITX000966,INV0005,F005,2025-12-06,Subscription,2317.69,EUR
ITX000967,INV0054,F003,2025-06-15,Redemption,-2927.05,EUR
ITX000968,INV0089,F003,2026-04-12,Subscription,30748.94,EUR
ITX000969,INV0005,F002,2025-11-03,Subscription,18329.34,EUR
ITX000970,INV0009,F007,2026-07-18,Subscription,44927.72,EUR
ITX000971,INV0016,F005,2025-12-04,Subscription,23805.43,EUR
ITX000972,INV0090,F004,2025-03-01,Subscription,26469.99,EUR
ITX000973,INV0081,F002,2026-05-11,Subscription,36621.56,EUR
ITX000974,INV0091,F005,2026-03-14,Subscription,30436.51,EUR
ITX000975,INV0068,F006,2025-05-13,Subscription,16166.18,EUR
ITX000976,INV0094,F008,2026-05-20,Subscription,25071.65,EUR
ITX000977,INV0030,F005,2025-07-18,Subscription,44241.35,EUR
ITX000978,INV0081,F002,2025-08-01,Subscription,1687.35,EUR
ITX000979,INV0053,F001,2025-12-08,Subscription,49949.86,EUR
ITX000980,INV0028,F001,2025-07-26,Subscription,40399.15,EUR
ITX000981,INV0009,F005,2025-11-04,Subscription,13093.67,EUR
ITX000982,INV0001,F002,2025-12-08,Subscription,16534.23,EUR
ITX000983,INV0079,F001,2025-06-29,Subscription,36357.63,EUR
ITX000984,INV0087,F008,2026-05-01,Subscription,41774.35,EUR
ITX000985,INV0062,F003,2026-04-17,Subscription,32459.78,EUR
ITX000986,INV0043,F008,2026-02-28,Redemption,-27079.89,EUR
ITX000987,INV0067,F005,2026-08-02,Redemption,-3273.1,EUR
ITX000988,INV0069,F001,2025-08-02,Subscription,16117.39,EUR
ITX000989,INV0046,F002,2025-06-02,Subscription,16920.1,EUR
ITX000990,INV0049,F003,2026-08-08,Subscription,2043.07,EUR
ITX000991,INV0015,F005,2025-11-19,Subscription,9775.26,EUR
ITX000992,INV0012,F008,2025-09-01,Subscription,13939.12,EUR
ITX000993,INV0039,F004,2026-06-22,Subscription,41558.14,EUR
ITX000994,INV0005,F004,2025-04-05,Subscription,6055.45,EUR
ITX000995,INV0062,F003,2025-07-14,Subscription,1734.27,EUR
ITX000996,INV0068,F005,2025-12-02,Subscription,24431.86,EUR
ITX000997,INV0067,F003,2025-07-30,Subscription,43654.05,EUR
ITX000998,INV0092,F002,2025-01-05,Subscription,23238.74,EUR
ITX000999,INV0077,F002,2025-12-08,Subscription,2679.48,EUR
ITX001000,INV0067,F005,2025-01-24,Subscription,2783.92,EUR
